week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2015-01-05,2015-01-09,2015-01-02,2015-01-05,10000000.0,10064122.5,64122.5,0.6412,7,4,4,64122.5
2015-01-12,2015-01-16,2015-01-09,2015-01-12,10064122.5,10064122.5,0.0,0.0,0,0,0,0.0
2015-01-19,2015-01-23,2015-01-16,2015-01-19,10064122.5,10064122.5,0.0,0.0,3,0,0,0.0
2015-01-26,2015-01-30,2015-01-23,2015-01-26,10064122.5,10107160.5,43038.0,0.4276,2,1,1,43038.0
2015-02-02,2015-02-06,2015-01-30,2015-02-02,10107160.5,10107160.5,0.0,0.0,1,0,0,0.0
2015-02-09,2015-02-13,2015-02-06,2015-02-09,10107160.5,10201590.5,94430.0,0.9343,5,3,3,94430.0
2015-02-16,2015-02-17,2015-02-13,2015-02-16,10201590.5,10201590.5,0.0,0.0,2,0,0,0.0
2015-03-02,2015-03-06,2015-02-27,2015-03-02,10201590.5,10201590.5,0.0,0.0,2,0,0,0.0
2015-03-09,2015-03-13,2015-03-06,2015-03-09,10201590.5,10201590.5,0.0,0.0,3,0,0,0.0
2015-03-16,2015-03-20,2015-03-13,2015-03-16,10201590.5,10506848.0,305257.5,2.9923,3,2,2,305257.5
2015-03-23,2015-03-27,2015-03-20,2015-03-23,10506848.0,10506848.0,0.0,0.0,2,0,0,0.0
2015-03-30,2015-04-03,2015-03-27,2015-03-30,10506848.0,10506848.0,0.0,0.0,2,0,0,0.0
2015-04-06,2015-04-10,2015-04-03,2015-04-06,10506848.0,10506848.0,0.0,0.0,0,0,0,0.0
2015-04-13,2015-04-17,2015-04-10,2015-04-13,10506848.0,10506848.0,0.0,0.0,0,0,0,0.0
2015-04-20,2015-04-24,2015-04-17,2015-04-20,10506848.0,10506848.0,0.0,0.0,0,0,0,0.0
2015-04-27,2015-04-30,2015-04-24,2015-04-27,10506848.0,10557623.0,50775.0,0.4833,9,1,1,50775.0
2015-05-11,2015-05-15,2015-05-08,2015-05-11,10557623.0,10557623.0,0.0,0.0,5,0,0,0.0
2015-05-18,2015-05-22,2015-05-15,2015-05-18,10557623.0,10646018.0,88395.0,0.8373,17,4,4,88395.0
2015-05-26,2015-05-29,2015-05-22,2015-05-26,10646018.0,10646018.0,0.0,0.0,1,0,0,0.0
2015-06-01,2015-06-05,2015-05-29,2015-06-01,10646018.0,10674738.0,28720.0,0.2698,7,2,2,28720.0
2015-06-08,2015-06-12,2015-06-05,2015-06-08,10674738.0,10739438.0,64700.0,0.6061,12,2,2,64700.0
2015-06-15,2015-06-19,2015-06-12,2015-06-15,10739438.0,10899808.0,160370.0,1.4933,6,2,2,160370.0
2015-06-22,2015-06-26,2015-06-19,2015-06-22,10899808.0,10899808.0,0.0,0.0,1,0,0,0.0
2015-06-29,2015-07-03,2015-06-26,2015-06-29,10899808.0,10853259.2,-46548.8,-0.4271,5,4,4,-46548.8
2015-07-06,2015-07-10,2015-07-03,2015-07-06,10853259.2,10815616.0,-37643.2,-0.3468,6,6,6,-37643.2
2015-07-13,2015-07-17,2015-07-10,2015-07-13,10815616.0,10917316.0,101700.0,0.9403,5,1,1,101700.0
