month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,10130657.5,130657.5,3,1.3066
2020-02,10130657.5,10142916.6,12259.100000000035,4,0.121
2020-03,10142916.6,9881154.6,-261762.0,5,-2.5807
2020-04,9881154.6,9881154.6,0.0,4,0.0
2020-05,9881154.6,9975864.6,94710.0,3,0.9585
2020-06,9975864.6,10437082.1,461217.5,5,4.6233
2020-07,10437082.1,10458612.1,21530.0,4,0.2063
2020-08,10458612.1,10140198.6,-318413.5,5,-3.0445
2020-09,10140198.6,9912198.6,-228000.0,4,-2.2485
2020-10,9912198.6,9947073.6,34875.0,2,0.3518
2020-11,9947073.6,10089723.6,142650.0,5,1.4341
2020-12,10089723.6,10300193.6,210470.0,3,2.086
2021-01,10300193.6,10688679.6,388486.0,3,3.7716
2021-02,10688679.6,10935079.6,246400.0,3,2.3052
2021-03,10935079.6,11194184.6,259105.0,5,2.3695
2021-04,11194184.6,11150684.6,-43500.0,4,-0.3886
2021-05,11150684.6,11311384.6,160700.0,5,1.4412
2021-06,11311384.6,11481780.1,170395.5,4,1.5064
2021-07,11481780.1,11568012.6,86232.5,4,0.751
2021-08,11568012.6,11123802.6,-444210.0,5,-3.84
2021-09,11123802.6,11602952.6,479150.0,4,4.3074
2021-10,11602952.6,11669087.6,66135.0,4,0.57
2021-11,11669087.6,11812415.6,143328.0,5,1.2283
2021-12,11812415.6,11676885.6,-135530.0,4,-1.1474
2022-01,11676885.6,11440227.1,-236658.5,3,-2.0267
2022-02,11440227.1,11461937.6,21710.5,5,0.1898
2022-03,11461937.6,11693737.6,231800.0,4,2.0223
2022-04,11693737.6,11651078.6,-42659.0,4,-0.3648
2022-05,11651078.6,11703580.6,52502.0,5,0.4506
2022-06,11703580.6,11300423.6,-403157.0,4,-3.4447
2022-07,11300423.6,11955523.6,655100.0,4,5.7971
2022-08,11955523.6,12372852.6,417329.0,5,3.4907
2022-09,12372852.6,12362065.1,-10787.5,3,-0.0872
2022-10,12362065.1,12349510.1,-12555.0,5,-0.1016
2022-11,12349510.1,11998585.1,-350925.0,4,-2.8416
2022-12,11998585.1,12028937.6,30352.5,4,0.253
2023-01,12028937.6,12028937.6,0.0,4,0.0
2023-02,12028937.6,12007027.6,-21910.0,4,-0.1821
2023-03,12007027.6,12241532.6,234505.0,4,1.9531
2023-04,12241532.6,11975522.6,-266010.0,4,-2.173
2023-05,11975522.6,11981682.6,6160.0,4,0.0514
2023-06,11981682.6,11981682.6,0.0,4,0.0
2023-07,11981682.6,11962162.6,-19520.0,5,-0.1629
2023-08,11962162.6,12246202.6,284040.0,4,2.3745
2023-09,12246202.6,12142847.6,-103355.0,4,-0.844
2023-10,12142847.6,12076927.6,-65920.0,4,-0.5429
2023-11,12076927.6,12076927.6,0.0,4,0.0
2023-12,12076927.6,12352947.6,276020.0,4,2.2855
2024-01,12352947.6,12078922.6,-274025.0,4,-2.2183
2024-02,12078922.6,12078922.6,0.0,3,0.0
2024-03,12078922.6,12196270.1,117347.5,3,0.9715
2024-04,12196270.1,12407713.8,211443.7,5,1.7337
2024-05,12407713.8,12370388.8,-37325.0,4,-0.3008
2024-06,12370388.8,12509508.8,139120.0,4,1.1246
2024-07,12509508.8,12828935.3,319426.5,5,2.5535
2024-08,12828935.3,11978232.8,-850702.5,4,-6.6311
2024-09,11978232.8,12238165.3,259932.5,5,2.17
2024-10,12238165.3,12316840.3,78675.0,4,0.6429
2024-11,12316840.3,12098525.3,-218315.0,4,-1.7725
2024-12,12098525.3,12556950.3,458425.0,5,3.7891
