date,source,count
2020-01-03,local,179
2020-01-10,local,179
2020-01-17,local,179
2020-01-31,local,179
2020-02-07,local,179
2020-02-14,local,179
2020-02-21,local,179
2020-02-28,local,179
2020-03-06,local,179
2020-03-13,local,179
2020-03-20,local,179
2020-03-27,local,179
2020-04-03,local,179
2020-04-10,local,179
2020-04-17,local,179
2020-04-24,local,179
2020-05-08,local,179
2020-05-15,local,179
2020-05-22,local,179
2020-05-29,local,179
2020-06-05,local,179
2020-06-12,local,179
2020-06-19,local,179
2020-06-26,local,179
2020-07-03,local,179
2020-07-10,local,179
2020-07-17,local,179
2020-07-24,local,179
2020-07-31,local,179
2020-08-07,local,179
2020-08-14,local,179
2020-08-21,local,179
2020-08-28,local,179
2020-09-04,local,180
2020-09-11,local,180
2020-09-18,local,180
2020-09-25,local,180
2020-10-16,local,181
2020-10-23,local,181
2020-10-30,local,181
2020-11-06,local,181
2020-11-13,local,181
2020-11-20,local,181
2020-11-27,local,181
2020-12-04,local,181
2020-12-11,local,181
2020-12-18,local,181
2021-01-08,local,181
2021-01-15,local,181
2021-01-22,local,181
2021-01-29,local,182
2021-02-05,local,182
2021-02-19,local,182
2021-02-26,local,182
2021-03-05,local,182
2021-03-12,local,182
2021-03-19,local,182
2021-03-26,local,182
2021-04-02,local,182
2021-04-09,local,182
2021-04-16,local,182
2021-04-23,local,182
2021-04-30,local,182
2021-05-07,local,182
2021-05-14,local,182
2021-05-21,local,182
2021-05-28,local,182
2021-06-04,local,182
2021-06-11,local,182
2021-06-18,local,182
2021-06-25,local,182
2021-07-02,local,182
2021-07-09,local,182
2021-07-16,local,182
2021-07-23,local,182
2021-07-30,local,182
2021-08-06,local,182
2021-08-13,local,182
2021-08-20,local,182
2021-08-27,local,182
2021-09-03,local,188
2021-09-10,local,188
2021-09-17,local,188
2021-09-24,local,188
2021-10-01,local,188
2021-10-08,local,188
2021-10-15,local,188
2021-10-22,local,188
2021-10-29,local,188
2021-11-05,local,188
2021-11-12,local,188
2021-11-19,local,188
2021-11-26,local,188
2021-12-03,local,189
2021-12-10,local,189
2021-12-17,local,189
2021-12-24,local,189
2022-01-07,local,189
2022-01-14,local,189
2022-01-21,local,189
2022-01-28,local,189
2022-02-04,local,190
2022-02-11,local,190
2022-02-18,local,190
2022-02-25,local,190
2022-03-04,local,191
2022-03-11,local,191
2022-03-18,local,191
2022-03-25,local,191
2022-04-01,local,191
2022-04-08,local,191
2022-04-15,local,191
2022-04-22,local,191
2022-04-29,local,191
2022-05-06,local,191
2022-05-13,local,191
2022-05-20,local,191
2022-05-27,local,191
2022-06-03,local,191
2022-06-10,local,191
2022-06-17,local,191
2022-06-24,local,191
2022-07-01,local,191
2022-07-08,local,191
2022-07-15,local,191
2022-07-22,local,191
2022-07-29,local,191
2022-08-05,local,191
2022-08-12,local,191
2022-08-19,local,191
2022-08-26,local,191
2022-09-02,local,191
2022-09-16,local,191
2022-09-23,local,191
2022-09-30,local,191
2022-10-07,local,191
2022-10-14,local,191
2022-10-21,local,191
2022-10-28,local,191
2022-11-04,local,192
2022-11-11,local,192
2022-11-18,local,192
2022-11-25,local,192
2022-12-02,local,192
2022-12-09,local,192
2022-12-16,local,192
2022-12-23,local,192
2023-01-06,local,192
2023-01-13,local,192
2023-01-20,local,192
2023-01-27,local,192
2023-02-03,local,192
2023-02-10,local,192
2023-02-17,local,192
2023-02-24,local,192
2023-03-03,local,192
2023-03-10,local,192
2023-03-17,local,192
2023-03-24,local,192
2023-03-31,local,192
2023-04-07,local,192
2023-04-14,local,192
2023-04-21,local,192
2023-04-28,local,192
2023-05-12,local,193
2023-05-19,local,193
2023-05-26,local,193
2023-06-02,local,193
2023-06-09,local,193
2023-06-16,local,193
2023-06-23,local,193
2023-06-30,local,193
2023-07-07,local,193
2023-07-14,local,193
2023-07-21,local,193
2023-07-28,local,193
2023-08-04,local,193
2023-08-11,local,193
2023-08-18,local,193
2023-08-25,local,193
2023-09-01,local,193
2023-09-08,local,193
2023-09-15,local,193
2023-09-22,local,193
2023-10-06,local,193
2023-10-13,local,193
2023-10-20,local,193
2023-10-27,local,193
2023-11-03,local,193
2023-11-10,local,193
2023-11-17,local,193
2023-11-24,local,193
2023-12-01,local,193
2023-12-08,local,193
2023-12-15,local,193
2023-12-22,local,193
2024-01-05,local,197
2024-01-12,local,197
2024-01-19,local,197
2024-01-26,local,197
2024-02-02,local,197
2024-02-16,local,197
2024-02-23,local,197
2024-03-08,local,197
2024-03-15,local,197
2024-03-22,local,197
2024-03-29,local,197
2024-04-05,local,197
2024-04-12,local,197
2024-04-19,local,197
2024-04-26,local,197
2024-05-03,local,197
2024-05-10,local,197
2024-05-17,local,197
2024-05-24,local,197
2024-05-31,local,197
2024-06-07,local,197
2024-06-14,local,197
2024-06-21,local,197
2024-06-28,local,197
2024-07-05,local,197
2024-07-12,local,197
2024-07-19,local,197
2024-07-26,local,198
2024-08-02,local,198
2024-08-09,local,198
2024-08-16,local,198
2024-08-23,local,198
2024-08-30,local,198
2024-09-06,local,198
2024-09-13,local,198
2024-09-20,local,198
2024-09-27,local,198
2024-10-04,local,198
2024-10-11,local,198
2024-10-18,local,198
2024-10-25,local,198
2024-11-01,local,198
2024-11-08,local,198
2024-11-15,local,198
2024-11-22,local,198
2024-11-29,local,198
2024-12-06,local,198
2024-12-13,local,198
2024-12-20,local,198
2024-12-27,local,198
