date,source,count
2020-01-03,fallback,0
2020-01-10,fallback,0
2020-01-17,fallback,0
2020-01-31,fallback,0
2020-02-07,fallback,0
2020-02-14,fallback,0
2020-02-21,fallback,0
2020-02-28,fallback,0
2020-03-06,fallback,0
2020-03-13,fallback,0
2020-03-20,fallback,0
2020-03-27,fallback,0
2020-04-03,fallback,0
2020-04-10,fallback,0
2020-04-17,fallback,0
2020-04-24,fallback,0
2020-05-08,fallback,0
2020-05-15,fallback,0
2020-05-22,fallback,0
2020-05-29,fallback,0
2020-06-05,fallback,0
2020-06-12,fallback,0
2020-06-19,fallback,0
2020-06-26,fallback,0
2020-07-03,fallback,0
2020-07-10,fallback,0
2020-07-17,fallback,0
2020-07-24,fallback,0
2020-07-31,fallback,0
2020-08-07,fallback,0
2020-08-14,fallback,0
2020-08-21,fallback,0
2020-08-28,fallback,0
2020-09-04,fallback,0
2020-09-11,fallback,0
2020-09-18,fallback,0
2020-09-25,fallback,0
2020-10-16,fallback,0
2020-10-23,fallback,0
2020-10-30,fallback,0
2020-11-06,fallback,0
2020-11-13,fallback,0
2020-11-20,fallback,0
2020-11-27,fallback,0
2020-12-04,fallback,0
2020-12-11,fallback,0
2020-12-18,fallback,0
2021-01-08,fallback,0
2021-01-15,fallback,0
2021-01-22,fallback,0
2021-01-29,fallback,0
2021-02-05,fallback,0
2021-02-19,fallback,0
2021-02-26,fallback,0
2021-03-05,fallback,0
2021-03-12,fallback,0
2021-03-19,fallback,0
2021-03-26,fallback,0
2021-04-02,fallback,0
2021-04-09,fallback,0
2021-04-16,fallback,0
2021-04-23,fallback,0
2021-04-30,fallback,0
2021-05-07,fallback,0
2021-05-14,fallback,0
2021-05-21,fallback,0
2021-05-28,fallback,0
2021-06-04,fallback,0
2021-06-11,fallback,0
2021-06-18,fallback,0
2021-06-25,fallback,0
2021-07-02,fallback,0
2021-07-09,fallback,0
2021-07-16,fallback,0
2021-07-23,fallback,0
2021-07-30,fallback,0
2021-08-06,fallback,0
2021-08-13,fallback,0
2021-08-20,fallback,0
2021-08-27,fallback,0
2021-09-03,fallback,0
2021-09-10,fallback,0
2021-09-17,fallback,0
2021-09-24,fallback,0
2021-10-01,fallback,0
2021-10-08,fallback,0
2021-10-15,fallback,0
2021-10-22,fallback,0
2021-10-29,fallback,0
2021-11-05,fallback,0
2021-11-12,fallback,0
2021-11-19,fallback,0
2021-11-26,fallback,0
2021-12-03,fallback,0
2021-12-10,fallback,0
2021-12-17,fallback,0
2021-12-24,fallback,0
