month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9941637.94,-58362.06,3,-0.5836
2020-02,9941637.94,10411681.63,470043.69,4,4.728
2020-03,10411681.63,11329156.59,917474.96,5,8.812
2020-04,11329156.59,11329156.59,0.0,4,0.0
2020-05,11329156.59,12106211.6,777055.01,3,6.8589
2020-06,12106211.6,12512580.72,406369.12,5,3.3567
2020-07,12512580.72,12494839.2,-17741.53,4,-0.1418
2020-08,12494839.2,12429114.0,-65725.19999999995,5,-0.526
2020-09,12429114.0,12199497.68,-229616.32000000007,4,-1.8474
2020-10,12199497.68,12010272.28,-189225.40000000002,2,-1.5511
2020-11,12010272.28,12965242.26,954969.98,5,7.9513
2020-12,12965242.26,13328418.47,363176.21,3,2.8012
2021-01,13328418.47,13028948.66,-299469.81,3,-2.2469
2021-02,13028948.66,13478520.44,449571.78,3,3.4506
2021-03,13478520.44,13830996.64,352476.19999999995,5,2.6151
2021-04,13830996.64,13189223.84,-641772.8,4,-4.6401
2021-05,13189223.84,13857917.57,668693.73,5,5.07
2021-06,13857917.57,14336392.35,478474.78,4,3.4527
2021-07,14336392.35,14431557.46,95165.11000000002,4,0.6638
2021-08,14431557.46,13340263.78,-1091293.6800000002,5,-7.5619
2021-09,13340263.78,12732686.59,-607577.19,4,-4.5545
2021-10,12732686.59,12725873.48,-6813.110000000044,4,-0.0535
2021-11,12725873.48,13269452.28,543578.8,5,4.2714
2021-12,13269452.28,13227490.71,-41961.580000000075,4,-0.3162
2022-01,13227490.71,12570446.71,-657044.0,3,-4.9673
2022-02,12570446.71,12153849.58,-416597.14,5,-3.3141
2022-03,12153849.58,11901162.68,-252686.89999999994,4,-2.0791
2022-04,11901162.68,11908434.79,7272.110000000015,4,0.0611
2022-05,11908434.79,12161863.98,253429.18999999997,5,2.1281
2022-06,12161863.98,11358507.91,-803356.0700000001,4,-6.6055
2022-07,11358507.91,11829991.04,471483.13,4,4.1509
2022-08,11829991.04,12030282.46,200291.41999999998,5,1.6931
2022-09,12030282.46,11934312.21,-95970.25,3,-0.7977
2022-10,11934312.21,12005749.91,71437.69999999995,5,0.5986
2022-11,12005749.91,12313539.32,307789.41000000003,4,2.5637
2022-12,12313539.32,12135923.57,-177615.75,4,-1.4424
2023-01,12135923.57,11960817.47,-175106.1,4,-1.4429
2023-02,11960817.47,12867607.32,906789.8499999999,4,7.5813
2023-03,12867607.32,14144625.25,1277017.9300000002,4,9.9243
2023-04,14144625.25,13489131.8,-655493.45,4,-4.6342
2023-05,13489131.8,13958970.43,469838.63000000006,4,3.4831
2023-06,13958970.43,14359600.33,400629.9,4,2.8701
2023-07,14359600.33,14638012.82,278412.49,5,1.9389
2023-08,14638012.82,15444160.68,806147.86,4,5.5072
2023-09,15444160.68,15332694.5,-111466.17999999996,4,-0.7217
2023-10,15332694.5,14862476.93,-470217.57,4,-3.0668
2023-11,14862476.93,14862476.93,0.0,4,0.0
2023-12,14862476.93,14615504.1,-246972.83,4,-1.6617
2024-01,14615504.1,13130670.12,-1484833.98,4,-10.1593
2024-02,13130670.12,13130670.12,0.0,3,0.0
2024-03,13130670.12,13387012.88,256342.76,3,1.9522
2024-04,13387012.88,13723138.78,336125.9,5,2.5108
2024-05,13723138.78,14922985.93,1199847.15,4,8.7432
2024-06,14922985.93,16229568.53,1306582.6,4,8.7555
2024-07,16229568.53,17744189.19,1514620.66,5,9.3325
2024-08,17744189.19,15680725.28,-2063463.92,4,-11.629
2024-09,15680725.28,15427588.79,-253136.48999999993,5,-1.6143
2024-10,15427588.79,15475649.28,48060.490000000034,4,0.3115
2024-11,15475649.28,15618162.79,142513.50999999995,4,0.9209
2024-12,15618162.79,15822542.75,204379.96,5,1.3086
