week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-07,180640,한진칼,fallback,58,38250.0,40162.5,take_profit,1,2218500.0,332.77,349.41,3494.14,2325581.45,106748.67,4.811
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,120000.0,119500.0,friday_liquidation,4,2160000.0,324.0,322.65,3226.5,2147450.85,-12873.15,-0.5959
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,145000.0,143500.0,friday_liquidation,4,2175000.0,326.25,322.88,3228.75,2148948.38,-26377.88,-1.2126
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,52,46800.0,44460.0,stop_loss,2,2433600.0,365.04,346.79,3467.88,2308105.33,-125859.71,-5.171
2020-02-03,2020-01-31,2020-02-03,2020-02-04,090430,아모레퍼시픽,fallback,8,184000.0,193200.0,take_profit,1,1472000.0,220.8,231.84,2318.4,1543049.76,70828.96,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-04,285130,SK케미칼,fallback,39,37850.0,39742.5,take_profit,1,1476150.0,221.42,232.49,2324.94,1547400.07,71028.65,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-06,017960,한국카본,fallback,201,7440.0,7812.0,take_profit,3,1495440.0,224.32,235.53,2355.32,1567621.15,71956.83,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-03,006280,녹십자,fallback,12,121000.0,127050.0,take_profit,0,1452000.0,217.8,228.69,2286.9,1522084.41,69866.61,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-04,267260,HD현대일렉트릭,fallback,158,9640.0,10122.0,take_profit,1,1523120.0,228.47,239.89,2398.91,1596637.19,73288.73,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-06,000100,유한양행,fallback,42,35800.0,37590.0,take_profit,3,1503600.0,225.54,236.82,2368.17,1576175.01,72349.47,4.811
2020-02-10,2020-02-07,2020-02-10,2020-02-12,008770,호텔신라,fallback,34,90100.0,94605.0,take_profit,2,3063400.0,459.51,482.49,4824.85,3211262.66,147403.15,4.811
2020-02-10,2020-02-07,2020-02-10,2020-02-13,003230,삼양식품,fallback,32,95600.0,100380.0,take_profit,3,3059200.0,458.88,481.82,4818.24,3206859.94,147201.06,4.811
2020-02-10,2020-02-07,2020-02-10,2020-02-14,016360,삼성증권,fallback,91,35100.0,35250.0,friday_liquidation,4,3194100.0,479.12,481.16,4811.62,3202457.21,7878.1,0.2466
2020-02-24,2020-02-21,2020-02-24,2020-02-28,207940,삼성바이오로직스,fallback,1,693000.0,674169.0,friday_liquidation,4,693000.0,103.95,101.13,1011.25,673056.62,-20047.33,-2.8924
2020-02-24,2020-02-21,2020-02-24,2020-02-24,003670,포스코퓨처엠,fallback,21,52500.0,55125.0,take_profit,0,1102500.0,165.38,173.64,1736.44,1155714.92,53049.54,4.811
2020-02-24,2020-02-21,2020-02-24,2020-02-25,002380,KCC,fallback,5,193500.0,183825.0,stop_loss,1,967500.0,145.12,137.87,1378.69,917608.44,-50036.68,-5.171
2020-02-24,2020-02-21,2020-02-24,2020-02-28,298020,효성티앤씨,fallback,7,158000.0,150100.0,stop_loss,4,1106000.0,165.9,157.6,1576.05,1048966.34,-57199.55,-5.171
